CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-24,South San Juan,Cumbres Trestle,TL,3054,-2,-1,-14,?,?,?,?,?,?,?,0.25,?,?,78.7,16.00,SNOTEL
2018-01-24,South San Juan,Upper San Juan,TL,3088,3,3,-16,?,?,?,?,?,?,?,0.25,?,?,58.4,14.48,SNOTEL
2018-01-24,South San Juan,Wolf Creek Pass (16,TL,3169,4,4,-13,-14,26,3,120,14,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,South San Juan,Big Bear Park,TL,3170,3,3,-8,-17,21,5,189,10,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,South San Juan,Coal Bank Pass,TL,3243,1,1,-10,-17,25,3,156,8,?,?,?,?,?,0.0,0.00,CAIC
2018-01-24,South San Juan,Spud Mountain,TL,3249,?,?,?,?,?,?,?,?,?,?,?,?,?,40.6,10.16,SNOTEL
2018-01-24,South San Juan,Sharkstooth,TL,3268,3,3,-9,?,?,?,?,?,?,?,0.00,?,?,48.3,10.16,SNOTEL
2018-01-24,South San Juan,Columbus Basin,TL,3288,-1,-1,-9,?,?,?,?,?,?,?,0.00,?,?,58.4,11.94,SNOTEL
2018-01-24,South San Juan,Vallecito,TL,3316,3,3,-7,?,?,?,?,?,?,?,0.25,?,?,22.9,5.84,SNOTEL
2018-01-24,South San Juan,Lily Pond,TL,3353,5,5,-10,?,?,?,?,?,?,?,0.25,?,?,30.5,10.16,SNOTEL
2018-01-24,South San Juan,Wolf Creek Summit,TL,3353,0,0,-8,?,?,?,?,?,?,?,0.51,?,?,88.9,21.34,SNOTEL
2018-01-24,South San Juan,Stump Lakes,TL,3414,0,0,-10,?,?,?,?,?,?,?,0.25,?,?,43.2,9.40,SNOTEL
2018-01-24,South San Juan,Middle Creek,TL,3429,1,1,-13,?,?,?,?,?,?,?,0.25,?,?,27.9,10.41,SNOTEL
2018-01-24,South San Juan,Wolf Creek Pass,>TL,3584,-5,-5,-10,-18,35,13,210,?,?,?,?,?,?,?,?,METAR
2018-01-24,South San Juan,Wolf Creek Pass,>TL,3597,-6,-6,-10,-20,30,20,219,27,?,?,?,?,?,?,?,CAIC
2018-01-24,Vail/Summit,Wolcott (070W155),<TL,2152,-3,2,-17,?,?,2,105,3,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Vail/Summit,Mc Elroy/Kremmli,<TL,2259,-10,3,-18,-15,67,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-24,Vail/Summit,Dowd Jct (070E171),<TL,2366,-2,2,-17,-13,42,10,55,11,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Vail/Summit,Elliot Ck Canal nr,<TL,2437,?,?,?,?,?,6,55,?,?,?,0.00,?,?,?,?,MesoWest
2018-01-24,Vail/Summit,Silverthorne 21 NW,<TL,2465,?,?,?,?,?,?,?,?,?,?,?,0.0,?,12.7,?,CoCoRaHS
2018-01-24,Vail/Summit,CW9352 Avon,<TL,2469,-2,-1,-13,-10,54,0,221,2,?,0.00,?,?,?,?,?,APRSWXNET
2018-01-24,Vail/Summit,Beaver Ck Village,<TL,2591,-5,-2,-11,?,?,?,?,?,?,?,0.00,?,?,35.6,8.64,SNOTEL
2018-01-24,Vail/Summit,CW9561 Kremmling,<TL,2629,-8,-4,-16,-13,65,2,48,?,?,?,?,?,?,?,?,APRSWXNET
2018-01-24,Vail/Summit,Silverthorne (RWIS),<TL,2703,-3,-3,-17,-12,52,3,150,6,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Vail/Summit,Middle Fork Camp,<TL,2743,-2,-2,-19,?,?,3,267,9,?,?,0.00,?,?,55.9,10.41,SNOTEL
2018-01-24,Vail/Summit,Dillon 1E,<TL,2763,5,5,-9,?,?,?,?,?,?,?,0.00,?,?,?,?,MesoWest
2018-01-24,Vail/Summit,Dowd Junction,<TL,2764,-2,-2,-15,-11,48,3,108,10,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,Vail/Summit,Dillon 2.3 SE CO,<TL,2776,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,24.1,?,CoCoRaHS
2018-01-24,Vail/Summit,Frisco 0.5 N CO,<TL,2790,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,38.1,?,CoCoRaHS
2018-01-24,Vail/Summit,Summit Ranch,<TL,2865,1,1,-16,?,?,?,?,?,?,?,0.25,?,?,43.2,10.67,SNOTEL
2018-01-24,Vail/Summit,Breckenridge 0.9 NN,<TL,2866,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Vail/Summit,McCoy Park,<TL,2890,1,1,-11,?,?,?,?,?,?,?,0.00,?,?,45.7,9.40,SNOTEL
2018-01-24,Vail/Summit,Silverthorne 2.1 WS,<TL,2893,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,42.2,?,CoCoRaHS
2018-01-24,Vail/Summit,Breckenridge 5S,TL,3118,1,1,-10,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Vail/Summit,Vail Mountain,TL,3139,-2,-2,-10,?,?,?,?,?,?,?,0.00,?,?,50.8,13.72,SNOTEL
2018-01-24,Vail/Summit,Vail SA - Mid-Mtn,TL,3140,-2,-2,-15,-14,39,2,143,8,?,?,?,0.0,?,95.8,?,VailResort
2018-01-24,Vail/Summit,Copper Mountain,TL,3201,-4,-4,-17,?,?,?,?,?,?,?,0.00,?,?,71.1,15.75,SNOTEL
2018-01-24,Vail/Summit,Elliot Ridge,TL,3206,-3,-3,-9,?,?,?,?,?,?,?,0.00,?,?,73.7,21.84,MesoWest
2018-01-24,Vail/Summit,Vail Pass (070E191),TL,3228,-5,-5,-19,-16,44,14,8,18,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Vail/Summit,Vail SA - China Bow,TL,3362,-7,-7,-13,-21,31,25,288,39,?,?,?,?,?,?,?,VailResort
2018-01-24,Vail/Summit,EJT West Portal (07,TL,3375,-6,-6,-16,-13,56,5,205,14,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Vail/Summit,Grizzly Peak,TL,3384,-3,-3,-14,?,?,?,?,?,?,?,0.25,?,?,94.0,22.10,SNOTEL
2018-01-24,Vail/Summit,Vail SA - Blue Sky,TL,3386,-7,-7,-14,-19,37,11,297,20,?,?,?,?,?,?,?,VailResort
2018-01-24,Vail/Summit,Vail SA - PHQ,TL,3428,-9,-9,-14,-15,63,4,305,15,?,?,?,?,?,?,?,VailResort
2018-01-24,Vail/Summit,Fremont Pass (091S0,TL,3445,-3,-3,-17,-16,37,11,160,19,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Vail/Summit,Fremont Pass,TL,3475,-4,-4,-15,?,?,?,?,?,?,?,0.00,?,?,101.6,22.35,SNOTEL
2018-01-24,Vail/Summit,Hoosier Pass,TL,3475,-2,-2,-14,?,?,4,346,10,?,?,0.25,?,?,86.4,20.83,SNOTEL
2018-01-24,Vail/Summit,A-Basin SA-MidMtn,>TL,3554,-7,-7,-16,-16,47,?,?,?,?,?,?,0.0,?,91.9,?,A-BasinSA
2018-01-24,Vail/Summit,A-Basin SA-Pali,>TL,3633,-9,-9,-16,-19,45,17,258,28,?,?,?,?,?,?,?,A-BasinSA
2018-01-24,Vail/Summit,A-Basin SA-Summit,>TL,3798,-9,-9,-17,-17,55,27,224,41,?,?,?,?,?,?,?,A-BasinSA
